Species Name,Common name,Clade,Order,Family,ID,Accession
Cercotrichas coryphaeus,Karoo Scrub Robin,Aves,Passeriformes,Muscicapidae,OUT-0024,WBND00000000
Calonectris borealis,Cory's Shearwater,Aves,Procellariiformes,Procellariidae,OUT-0025,VZUG00000000
Apteryx haastii,Great Spotted Kiwi,Aves,Apterygiformes,Apterygidae,OUT-0026,PTFD00000000.1
Apteryx owenii,Little Spotted Kiwi,Aves,Apterygiformes,Apterygidae,OUT-0027,PTFC00000000.1
Apteryx rowi,Okarito Brown Kiwi,Aves,Apterygiformes,Apterygidae,OUT-0028,PTFB00000000.1
Crypturellus cinnamomeus,Thicket Tinamou,Aves,Tinamiformes,Tinamidae,OUT-0029,PTEZ00000000.1
Nothoprocta perdicaria,Chilean Tinamou,Aves,Tinamiformes,Tinamidae,OUT-0030,PTEW00000000.1
Rhea americana,Greater Rhea,Aves,Rheiformes,Rheidae,OUT-0031,PTEV00000000.1
Rhea pennata,Lesser Rhea,Aves,Rheiformes,Rheidae,OUT-0032,PTJI00000000.1
Chlorodrepanis virens,Hawaii Amakihi,Aves,Passeriformes,Fringillidae,OUT-0034,GCA_003286495.1
Hemignathus wilsoni,Akiapola'au,Aves,Passeriformes,Fringillidae,OUT-0035,SGIP00000000
Cairina moschata,Muscovy Duck,Aves,Anseriformes,Anatidae,OUT-0036,QZEJ00000000
Brachypodius atriceps,Black-headed Bulbul,Aves,Passeriformes,Pycnonotidae,OUT-0037,VZSR00000000
Certhia familiaris,Eurasian Treecreeper,Aves,Passeriformes,Certhiidae,OUT-0039,WBNC00000000
Haliaeetus albicilla,White-tailed Sea Eagle,Aves,Accipitriformes,Accipitridae,OUT-0040,VZSQ00000000
Phasianus colchicus,Common Pheasant,Aves,Galliformes,Phasianidae,OUT-0045,GCA_004143745.1
Charadrius alexandrinus,Kentish Plover,Aves,Charadriiformes,Charadriidae,OUT-0046,
Manacus manacus,Bearded Manakin,Aves,Passeriformes,Pipridae,OUT-0047,GCA_001715985.2
Vidua chalybeata,Village Indigobird,Aves,Passeriformes,Viduidae,OUT-0048,WBNB00000000
Molothrus ater,Brown-headed Cowbird,Aves,Passeriformes,Icteridae,OUT-0049,VZUF00000000
Agelaius phoeniceus,Red-winged Blackbird,Aves,Passeriformes,Icteridae,OUT-0050,VZSP00000000
Asarcornis scutulata,White-winged Duck,Aves,Anseriformes,Anatidae,OUT-0051,VZSO00000000
Nesospiza acunhae,Inaccessible Island finch,Aves,Passeriformes,Thraupidae,OUT-0053,VZSU00000000
Acrocephalus arundinaceus,Great Reed Warbler,Aves,Passeriformes,Acrocephalidae,OUT-0054,VZST00000000
Atlantisia rogersi,Inaccessible Island Rail,Aves,Gruiformes,Rallidae,OUT-0055,VZUJ00000000
Cettia cetti,Cetti's Warbler,Aves,Passeriformes,Scotocercidae,OUT-0056,VZUI00000000
Xiphorhynchus elegans,Elegant Woodcreeper,Aves,Passeriformes,Furnariidae,OUT-0059,VZUH00000000
Corvus moneduloides,New Caledonian Crow,Aves,Passeriformes,Corvidae,OUT-0060,WBNF00000000
Copsychus sechellarum,Seychelles Magpie Robin,Aves,Passeriformes,Muscicapidae,OUT-0061,WBNE00000000
Numida meleagris,Helmeted Guineafowl,Aves,Galliformes,Numididae,OUT-0062,MTSP00000000.1
Bos_taurus,cattle,Mammalia,Artiodactyla,Bovidae,Bos_taurus,GCF_002263795.1
Sus_scrofa,Wild boar,Mammalia,Artiodactyla,Suidae,Sus_scrofa,GCF_000003025.6
Canis_familiaris,Dog,Mammalia,Carnivora,Canidae,Canis_familiaris,GCF_014441545.1
Myotis_davidii,David's myotis,Mammalia,Chiroptera,Vespertilionidae,Myotis_davidii,GCF_000327345.1
Pteropus_alecto,Black flying fox,Mammalia,Chiroptera,Pteropodidae,Pteropus_alecto,GCF_000325575.1
Monodelphis_domestica,Gray short-tailed opossum,Mammalia,Didelphimorphia,Didelphidae,Monodelphis_domestica,GCF_000002295.2
Oryctolagus_cuniculus,European rabbit,Mammalia,Lagomorpha,Leporidae,Oryctolagus_cuniculus,GCF_000003625.3
Equus_caballus,Horse,Mammalia,Perissodactyla,Equidae,Equus_caballus,GCF_002863925.1
