ID	clade	Order	Family	Tree.name	Order.spes	Latin.name
APP-028	Aves	Psittaciformes	Psittaculidae	MELUND	Psittaciformes	Melopsittacus undulatus
APP-029	Aves	Coraciiformes	Meropidae	MERNUB	Coraciiformes	Merops nubicus
APP-030	Aves	Mesitornithiformes	Mesitornithidae	MESUNI	Mesitornithiformes	Mesitornis unicolor
APP-031	Aves	Psittaciformes	Strigopidae	NESNOT	Psittaciformes	Nestor notabilis
APP-032	Aves	Pelecaniformes	Threskiornithidae	NIPNIP	Pelecaniformes	Nipponia nippon
APP-033	Aves	Opisthocomiformes	Opisthocomidae	OPIHOA	Opisthocomiformes	Opisthocomus hoazin
APP-034	Aves	Pelecaniformes	Pelecanidae	PELCRI	Pelecaniformes	Pelecanus crispus
APP-035	Aves	Phaethontiformes	Phaethontidae	PHALEP	Phaethontiformes	Phaethon lepturus
APP-036	Aves	Pelecaniformes	Phalacrocoracidae	PHACAR	Pelecaniformes	Phalacrocorax carbo
APP-037	Aves	Phoenicopteriformes	Phoenicopteridae	PHORUB	Phoenicopteriformes	Phoenicopterus ruber
APP-038	Aves	Piciformes	Picidae	PICPUB	Piciformes	Picoides pubescens
APP-039	Aves	Podicipiformes	Podicipedidae	PODCRI	Podicipiformes	Podiceps cristatus
APP-040	Aves	Pterocliformes	Pteroclidae	PTEGUT	Pterocliformes	Pterocles gutturalis
APP-041	Aves	Sphenisciformes	Spheniscidae	PYGADE	Sphenisciformes	Pygoscelis adeliae
APP-042	Aves	Struthioniformes	Struthionidae	STRCAM	Struthioniformes	Struthio camelus
APP-043	Aves	Musophagiformes	Musophagidae	TAUERY	Musophagiformes	Tauraco erythrolophus
APP-044	Aves	Tinamiformes	Tinamidae	TINGUT	Tinamiformes	Tinamus guttatus
APP-045	Aves	Strigiformes	Tytonidae	TYTALB	Strigiformes	Tyto alba
B10K-Callaeas-wilsoni	Aves	Passeriformes	Callaeidae	CALWIL	Passeriformes	Callaeas wilsoni
B10K-Casuarius-casuarius	Aves	Casuariiformes	Casuariidae	CASCAS	Casuariiformes	Casuarius casuarius
B10K-Crypturellus-soui	Aves	Tinamiformes	Tinamidae	CRYSOU	Tinamiformes	Crypturellus soui
B10K-Crypturellus-undulatus	Aves	Tinamiformes	Tinamidae	CRYUND	Tinamiformes	Crypturellus undulatus
B10K-CU-030-46	Aves	Passeriformes	Menuridae	MENNOV	Passeriformes	Menura novaehollandiae
B10K-CU-031-01	Aves	Otidiformes	Otididae	ARDKOR	Otidiformes	Ardeotis kori
B10K-CU-031-02	Aves	Cuculiformes	Cuculidae	CEUAER	Cuculiformes	Ceuthmochares aereus
B10K-CU-031-03	Aves	Pelecaniformes	Ardeidae	COCCOC	Pelecaniformes	Cochlearius cochlearius
B10K-CU-031-07	Aves	Cuculiformes	Cuculidae	GEOCAL	Cuculiformes	Geococcyx californianus
B10K-CU-031-08	Aves	Charadriiformes	Glareolidae	GLAPRA	Charadriiformes	Glareola pratincola
B10K-CU-031-10	Aves	Caprimulgiformes	Nyctibiidae	NYCBRA	Caprimulgiformes	Nyctibius bracteatus
B10K-CU-031-11	Aves	Procellariiformes	Oceanitidae	OCEOCE	Procellariiformes	Oceanites oceanicus
B10K-CU-031-12	Aves	Passeriformes	Rhodinocichlidae	RHOROS	Passeriformes	Rhodinocichla rosea
B10K-CU-031-13	Aves	Passeriformes	Tachurididae	TACRUB	Passeriformes	Tachuris rubrigastra
B10K-CU-031-17	Aves	Passeriformes	Cinclosomatidae	PTILEU	Passeriformes	Ptilorrhoa leucosticta
B10K-CU-031-19	Aves	Passeriformes	Rhipiduridae	CHAPAP	Passeriformes	Chaetorhynchus papuensis
B10K-CU-031-20	Aves	Passeriformes	Calyptomenidae	SMICAP	Passeriformes	Smithornis capensis
B10K-CU-031-22	Aves	Cariamiformes	Cariamidae	CHUBUR	Cariamiformes	Chunga burmeisteri
B10K-CU-031-23	Aves	Otidiformes	Otididae	LOPRUF	Otidiformes	Lophotis ruficrista
B10K-CU-031-38	Aves	Pelecaniformes	Anhingidae	ANHANH	Pelecaniformes	Anhinga anhinga
B10K-CU-031-40	Aves	Musophagiformes	Musophagidae	CORCRI	Musophagiformes	Corythaeola cristata
B10K-Dromaius-novaehollandiae	Aves	Casuariiformes	Casuariidae	DRONOV	Casuariiformes	Dromaius novaehollandiae
B10K-DU-001-01	Aves	Passeriformes	Cotingidae	CEPORN	Passeriformes	Cephalopterus ornatus
B10K-DU-001-02	Aves	Passeriformes	Grallariidae	GRAVAR	Passeriformes	Grallaria varia
B10K-DU-001-03	Aves	Passeriformes	Scleruridae	SCLMEX	Passeriformes	Sclerurus mexicanus
B10K-DU-001-04	Aves	Piciformes	Ramphastidae	EUBBOU	Piciformes	Eubucco bourcierii
B10K-DU-001-06	Aves	Passeriformes	Thamnophilidae	SAKLUC	Passeriformes	Sakesphorus luctuosus
B10K-DU-001-07	Aves	Strigiformes	Strigidae	CICNIG	Strigiformes	Ciccaba nigrolineata
B10K-DU-001-08	Aves	Galliformes	Cracidae	PENPIL	Galliformes	Penelope pileata
B10K-DU-001-09	Aves	Passeriformes	Dendrocolaptidae	CAMPRO	Passeriformes	Campylorhamphus procurvoides
B10K-DU-001-15	Aves	Passeriformes	Alaudidae	ALACHE	Passeriformes	Alaudala cheleensis
B10K-DU-001-16	Aves	Piciformes	Bucconidae	BUCCAP	Piciformes	Bucco capensis
B10K-DU-001-17	Aves	Passeriformes	Turdidae	CATFUS	Passeriformes	Catharus fuscescens
B10K-DU-001-18	Aves	Passeriformes	Regulidae	REGSAT	Passeriformes	Regulus satrapa
B10K-DU-001-19	Aves	Passeriformes	Fringillidae	LOXLEU	Passeriformes	Loxia leucoptera
B10K-DU-001-20	Aves	Charadriiformes	Stercorariidae	STEPAR	Charadriiformes	Stercorarius parasiticus
B10K-DU-001-21	Aves	Coraciiformes	Momotidae	BARMAR	Coraciiformes	Baryphthengus martii
B10K-DU-001-22	Aves	Passeriformes	Vireonidae	VIRALT	Passeriformes	Vireo altiloquus
B10K-DU-001-23	Aves	Caprimulgiformes	Apodidae	HEMCOM	Caprimulgiformes	Hemiprocne comata
B10K-DU-001-24	Aves	Piciformes	Ramphastidae	PSIHAE	Piciformes	Psilopogon haemacephalus
B10K-DU-001-25	Aves	Passeriformes	Campephagidae	EDOCOE	Passeriformes	Edolisoma coerulescens
B10K-DU-001-26	Aves	Passeriformes	Irenidae	IRECYA	Passeriformes	Irena cyanogastra
B10K-DU-001-27	Aves	Passeriformes	Zosteropidae	STEDEN	Passeriformes	Sterrhoptilus dennistouni
B10K-DU-001-28	Aves	Passeriformes	Pachycephalidae	PACPHI	Passeriformes	Pachycephala philippinensis
B10K-DU-001-29	Aves	Passeriformes	Sturnidae	RHAINO	Passeriformes	Rhabdornis inornatus
B10K-DU-001-30	Aves	Piciformes	Ramphastidae	RAMSUL	Piciformes	Ramphastos sulfuratus
B10K-DU-001-31	Aves	Passeriformes	Icteridae	QUIMEX	Passeriformes	Quiscalus mexicanus
B10K-DU-001-32	Aves	Procellariiformes	Hydrobatidae	HYDTET	Procellariiformes	Hydrobates tethys
B10K-DU-001-33	Aves	Passeriformes	Monarchidae	MYIHEB	Passeriformes	Myiagra hebetior
B10K-DU-001-34	Aves	Passeriformes	Dicaeidae	DICEXI	Passeriformes	Dicaeum eximium
B10K-DU-001-35	Aves	Passeriformes	Nectariniidae	LEPASP	Passeriformes	Leptocoma aspasia
B10K-DU-001-36	Aves	Passeriformes	Zosteropidae	ZOSHYP	Passeriformes	Zosterops hypoxanthus
B10K-DU-001-37	Aves	Passeriformes	Tyrannidae	TYRSAV	Passeriformes	Tyrannus savana
B10K-DU-001-39	Aves	Galliformes	Megapodiidae	ALELAT	Galliformes	Alectura lathami
B10K-DU-001-40	Aves	Caprimulgiformes	Podargidae	PODSTR	Caprimulgiformes	Podargus strigoides
B10K-DU-001-42	Aves	Piciformes	Ramphastidae	SEMFRA	Piciformes	Semnornis frantzii
B10K-DU-001-43	Aves	Passeriformes	Formicariidae	FORRUF	Passeriformes	Formicarius rufipectus
B10K-DU-001-44	Aves	Pelecaniformes	Threskiornithidae	MESCAY	Pelecaniformes	Mesembrinibis cayennensis
B10K-DU-001-45	Aves	Passeriformes	Parulidae	SETKIR	Passeriformes	Setophaga kirtlandii
B10K-DU-001-46	Aves	Psittaciformes	Psittacidae	AMAGUI	Psittaciformes	Amazona guildingii
B10K-DU-001-47	Aves	Pelecaniformes	Ciconiidae	CICMAG	Pelecaniformes	Ciconia maguari
B10K-DU-001-48	Aves	Passeriformes	Dicruridae	DICMEG	Passeriformes	Dicrurus megarhynchus
B10K-DU-001-49	Aves	Passeriformes	Rhipiduridae	RHIDAH	Passeriformes	Rhipidura dahli
B10K-DU-001-53	Aves	Galliformes	Odontophoridae	ODOGUJ	Galliformes	Odontophorus gujanensis
B10K-DU-001-55	Aves	Gruiformes	Heliornithidae	HELFUL	Gruiformes	Heliornis fulica
B10K-DU-001-56	Aves	Caprimulgiformes	Nyctibiidae	NYCGRA	Caprimulgiformes	Nyctibius grandis
B10K-DU-001-57	Aves	Anseriformes	Anseranatidae	ANSSEM	Anseriformes	Anseranas semipalmata
B10K-DU-001-60	Aves	Gruiformes	Psophiidae	PSOCRE	Gruiformes	Psophia crepitans
B10K-DU-001-61	Aves	Coraciiformes	Alcedinidae	CHLAEN	Coraciiformes	Chloroceryle aenea
B10K-DU-001-62	Aves	Piciformes	Galbulidae	GALDEA	Piciformes	Galbula dea
B10K-DU-001-63	Aves	Passeriformes	Donacobiidae	DONATR	Passeriformes	Donacobius atricapilla
B10K-DU-001-64	Aves	Charadriiformes	Burhinidae	BURBIS	Charadriiformes	Burhinus bistriatus
B10K-DU-001-65	Aves	Passeriformes	Laniidae	LANLUD	Passeriformes	Lanius ludovicianus
B10K-DU-001-66	Aves	Passeriformes	Polioptilidae	POLCAE	Passeriformes	Polioptila caerulea
B10K-DU-001-67	Aves	Passeriformes	Hirundinidae	HIRRUS	Passeriformes	Hirundo rustica
B10K-DU-001-68	Aves	Passeriformes	Troglodytidae	THRLUD	Passeriformes	Thryothorus ludovicianus
B10K-DU-001-69	Aves	Passeriformes	Cardinalidae	CARCAR	Passeriformes	Cardinalis cardinalis
