"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","significant","diffexpressed","ERVK_related"
"TAEGUT_R06167",2482.72809000358,3.93682116143979,0.474139159960841,8.30309220138015,1.01436094888435e-16,4.47821574470426e-15,"TAEGUT_R06167","significant","UP",NA
"TAEGUT_R03182",133.787659091779,0.741796779884477,0.788023242379056,0.941338706768318,0.346531313039041,0.472108379332851,"TAEGUT_R03182","NS.",NA,NA
"TAEGUT_R06165",9.39069604311848,-0.282250252608083,0.978562375091582,-0.288433583583947,0.773014863541616,0.843948679229819,"TAEGUT_R06165","NS.",NA,NA
"TAEGUT_R06164",277.094845278162,5.80368032592196,0.793690686307497,7.31226966127388,2.62667300307094e-13,5.85917046954022e-12,"TAEGUT_R06164","significant","UP",NA
"TAEGUT_R06163",422.525219517073,-0.508536299018895,0.257090410669111,-1.97804460187902,0.0479236752575381,0.0934560669234935,"TAEGUT_R06163","NS.",NA,NA
"TAEGUT_R06162",9.88025494581539,3.21571695972112,1.06476950893399,3.0201061663952,0.00252686094899321,0.00718858771169429,"TAEGUT_R06162","significant","UP",NA
"TAEGUT_R16168",823.150542584228,1.73473986259334,0.774691916863757,2.23926418338817,0.0251387318622144,0.0537013770246586,"TAEGUT_R16168","NS.",NA,NA
"TAEGUT_R03183",1713.76737402224,-2.98981260118588,0.49887015571853,-5.9931678953206,2.05792189899555e-09,2.12960859781026e-08,"TAEGUT_R03183","significant","DOWN",NA
"TAEGUT_R18300",229.102806771478,6.63093190207762,0.572495618635673,11.5825024440885,5.05485669745797e-31,2.05119631774295e-28,"TAEGUT_R18300","significant","UP",NA
"TAEGUT_R18301",40.9532288278532,0.52509237667776,0.444485886261889,1.18134769383516,0.237464627851743,0.350563153679732,"TAEGUT_R18301","NS.",NA,NA
"TAEGUT_R18302",308.924243287391,-1.36438512904682,0.368146681917347,-3.70609106658508,0.000210482644301055,0.000785582190236734,"TAEGUT_R18302","significant","DOWN",NA
"TAEGUT_R15119",4.18586099808371,-0.451345136528793,1.44671943288353,-0.311978346505786,0.755056979608657,0.831893572274967,"TAEGUT_R15119","NS.",NA,NA
"TAEGUT_R18304",348.96283069246,1.69921187178921,0.630179521352341,2.69639335175914,0.00700948392268848,0.0177607117541537,"TAEGUT_R18304","significant","UP",NA
"TAEGUT_R13934",110.901948205404,4.47848239073474,0.638355634056263,7.01565420873222,2.28875471315088e-12,4.36511298892135e-11,"TAEGUT_R13934","significant","UP",NA
"TAEGUT_R18306",29.039206642799,3.76313411707234,0.685464865057507,5.48990080878417,4.0215952594468e-08,3.21323271001966e-07,"TAEGUT_R18306","significant","UP",NA
"TAEGUT_R18307",205.284577153748,1.96201864373043,0.239762635003128,8.18317100871382,2.76470378991254e-16,1.08718413775695e-14,"TAEGUT_R18307","significant","UP",NA
"TAEGUT_R18308",0.813809685457901,-3.73744323312263,2.98158531917057,-1.2535087321138,0.210020623214319,0.318605896113863,"TAEGUT_R18308","NS.",NA,NA
"TAEGUT_R18309",6.36597881121847,5.7427991727211,0.808173208511799,7.10590144815133,1.19539695284378e-12,2.40745624969764e-11,"TAEGUT_R18309","significant","UP",NA
"TAEGUT_R13935",922.584373765082,-0.496856754157843,0.995075414664706,-0.499315676817582,0.617557012789202,0.72320074591156,"TAEGUT_R13935","NS.",NA,NA
"TAEGUT_R07312",367.711111274,-0.344735229720352,0.321195080058786,-1.07328925977714,0.283141352558959,0.403985327747772,"TAEGUT_R07312","NS.",NA,NA
"TAEGUT_R03328",27.7797455614373,0.536069746410269,0.924173564513618,0.580053105817192,0.561878805915761,0.67642005322045,"TAEGUT_R03328","NS.",NA,NA
"TAEGUT_R08148",238.252566868581,-0.862955149845626,1.01450859760779,-0.850613934549669,0.394983846259887,0.522123655049841,"TAEGUT_R08148","NS.",NA,NA
