"","PGC_SRR11924447","PGC_SRR11924448","PGC_SRR11924449","PGC_SRR11924450","PGC_SRR11924451","PGC_SRR11924452","PGC_SRR11924453","PGC_SRR11924454","Testis_SRR2299402","Testis_SRR2299403","Testis_SRR2299404","Testis_SRR8551567","Testis_SRR8695301","Ovary_SRR8551565","Blood_SRR6761851","Blood_SRR6761852","Blood_SRR6761853","Blood_SRR6761854","Blood_SRR6761855","Blood_SRR6761856","Blood_SRR6761867","Blood_SRR6761868","Blood_SRR6761869","Blood_SRR6761870","Brian_SRR3208120","Brian_SRR3208121","Brian_SRR3208122","Muscle_SRR8551561","Muscle_SRR8695298","Spleen_SRR5001848","Spleen_SRR5001850","Spleen_SRR5001851"
"TAEGUT_R10488",5.93698774757671,3.60672615386981,13.3660524165474,0.939273078164243,1.16220628902394,1.44130760992288,1.19360133371935,0.634159260386542,0.833072474084356,0.653415422416273,0,0.396623655072443,0.396623655072443,1.53210578348461,2.11970981383865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R19200",11.2143101898671,6.49210707696565,29.7023387034386,4.69636539082122,0,5.7652304396915,0,0.634159260386542,1.66614494816871,0,4.00142277911586,3.17298924057955,3.17298924057955,0,0,0,0,0,0,0,0,0,0,0,3.65907449818673,0,0,0,0,2.47144230627273,0,0
"TAEGUT_R13899",21.768955074448,10.0988332308355,63.860028212393,9.86236732072455,6.97323773414365,8.64784565953726,4.77440533487739,0.634159260386542,0,7.187569646579,14.2907956396995,4.75948386086932,4.75948386086932,4.97934379632498,4.2394196276773,8.6150504542182,2.0835508383518,6.10601628099151,0,2.75364854368876,0,2.07022164304133,3.92136372735094,2.85811187899206,10.0624548700135,5.20838198693057,2.07476684252154,1.92608073227329,1.92596234441023,1.64762820418182,3.39648640572037,2.25235483937105
"TAEGUT_R08362",9.89497957929452,10.0988332308355,34.1576895089544,1.87854615632849,5.22992830060774,5.04457663473007,0,3.80495556231925,2.49921742225307,0.653415422416273,1.71489547676394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642026910757762,0.641987448136742,0,0,0
"TAEGUT_R14176",11.2143101898671,0,35.6428064441263,4.22672885173909,6.39213458963168,4.32392282976863,4.77440533487739,0.634159260386542,4.16536237042178,4.57390795691391,5.14468643029182,5.94935482608665,5.94935482608665,10.7247404843923,4.2394196276773,0,0,9.15902442148727,2.9371518852828,5.50729708737752,0,0,3.92136372735094,5.71622375798411,0,0,1.03738342126077,0,0,3.29525640836365,2.54736480429028,19.8207225864652
"TAEGUT_R14173",7.91598366343562,3.60672615386981,19.3065201572351,3.28745577357485,2.90551572255986,4.32392282976863,0.596800666859673,0.634159260386542,0.833072474084356,0.653415422416273,0,0.396623655072443,0.396623655072443,2.68118512109807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R14172",26.3866122114521,12.9842141539313,57.9195604717053,10.8016403988888,8.71654716767956,7.92719185457582,6.56480733545641,3.80495556231925,1.66614494816871,3.26707711208136,0,0,0,4.97934379632498,0,0,0,0,0,2.75364854368876,2.33250937474363,0,0,0,0.914768624546682,0,0,0,0,0,0,0.45047096787421
"TAEGUT_R16610",17.1512979374438,16.5909403078011,92.0772499806597,7.98382116439607,12.7842691792634,9.36849946449869,8.9520100028951,3.17079630193271,42.4866961783021,34.6310173880624,19.4354820699913,138.818279275355,138.818279275355,0.766052891742304,0,0,0,0,0,0,0,0,0,0,8.23291762092013,8.68063664488428,6.22430052756464,1.28405382151552,1.28397489627348,1.64762820418182,1.27368240214514,0
"TAEGUT_R09027",13.193306105726,8.65614276928754,29.7023387034386,3.75709231265697,0.581103144511971,4.32392282976863,0.596800666859673,1.26831852077308,0.833072474084356,4.57390795691391,4.00142277911586,1.98311827536222,1.98311827536222,2.68118512109807,4.2394196276773,2.8716834847394,4.16710167670359,3.05300814049576,5.87430377056559,8.26094563106628,4.66501874948726,2.07022164304133,0,5.71622375798411,5.48861174728009,3.47225465795371,2.07476684252154,0.642026910757762,0.641987448136742,0,0.849121601430093,0.45047096787421
"TAEGUT_R03598",3.29832652643151,7.93479753851358,41.583274184814,4.69636539082122,7.55434087865562,7.20653804961438,13.7264153377725,1.90247778115963,0.833072474084356,0,0.57163182558798,1.18987096521733,1.18987096521733,7.66052891742304,29.6759373937411,17.2301009084364,29.1697117369251,21.3710569834703,61.6801895909387,38.5510796116426,58.3127343685907,18.631994787372,39.2136372735094,108.608251401698,0,0,0,0,0,0.823814102090912,5.94385121001065,3.15329677511947
